Rank,University,Country,FTE_students,Staff_students,International_students_pct,Female_male_ratio,Overall,Teaching,Research,Citations,Industry_income,International_outlook
20,Duke University,United States,"15,309",4.3,19%,49 : 51,84.0,82.4,76.8,97.0,99.9,61.5
21,University of Michigan-Ann Arbor,United States,"42,982",8.3,17%,49 : 51,83.8,79.4,86.1,94.9,47.7,59.2
22,Northwestern University,United States,"17,951",12.8,20%,49 : 51,83.5,74.2,83.8,97.8,78.4,64.1
23,Tsinghua University,China,"38,783",12.0,11%,34 : 66,82.6,86.6,94.0,74.6,100.0,47.4
24,Peking University,China,"39,575",11.5,15%,46 : 54,82.3,89.1,90.0,73.2,86.6,59.6
25,National University of Singapore,Singapore,"30,869",17.9,28%,51 : 49,81.9,76.8,90.4,76.9,58.8,95.5
26,University of Washington,United States,"45,692",11.1,16%,53 : 47,81.6,72.2,82.2,98.6,47.5,60.4
=27,Carnegie Mellon University,United States,"13,430",13.6,48%,41 : 59,81.3,65.9,82.7,98.2,50.5,80.6
=27,London School of Economics and Political Science,United Kingdom,"10,570",12.1,71%,53 : 47,81.3,69.0,83.0,92.8,35.1,93.2
29,New York University,United States,"44,466",8.9,33%,57 : 43,81.1,76.8,77.5,96.5,38.7,65.4
30,University of Edinburgh,United Kingdom,"29,433",12.8,41%,60 : 40,79.4,67.3,74.1,96.4,38.9,93.8
31,"University of California, San Diego",United States,"33,579",13.0,23%,46 : 54,78.8,62.6,78.9,97.7,90.3,63.7
=32,LMU Munich,Germany,"34,519",34.7,17%,61 : 39,77.8,68.4,77.0,88.8,100.0,67.2
=32,University of Melbourne,Australia,"47,385",26.3,46%,56 : 44,77.8,65.9,74.1,89.8,76.3,93.1
34,University of British Columbia,Canada,"52,108",18.1,32%,55 : 45,76.3,61.5,73.2,92.5,43.8,94.4
35,University of Hong Kong,Hong Kong,"18,260",18.2,44%,54 : 46,75.9,69.5,77.2,76.6,59.7,98.6
=36,King’s College London,United Kingdom,"26,057",12.5,44%,62 : 38,75.7,61.3,68.5,94.8,45.6,95.6
=36,The University of Tokyo,Japan,"25,913",10.6,12%,n/a,75.7,85.9,89.6,60.7,77.4,38.2
=38,École Polytechnique Fédérale de Lausanne,Switzerland,"10,492",11.4,59%,28 : 72,75.4,66.6,66.3,88.3,66.4,98.6
=38,Georgia Institute of Technology,United States,"21,372",18.3,27%,33 : 67,75.4,60.2,76.4,90.4,61.6,77.1
=38,University of Texas at Austin,United States,"49,165",17.2,10%,52 : 48,75.4,68.2,76.2,93.2,46.6,39.1
41,Karolinska Institute,Sweden,"7,777",9.0,20%,68 : 32,74.7,55.4,71.4,96.1,71.2,81.2
42,McGill University,Canada,"31,294",13.0,29%,58 : 42,74.3,65.0,71.9,84.7,42.8,90.4
43,Technical University of Munich,Germany,"40,472",47.8,27%,34 : 66,74.1,64.6,70.4,85.5,100.0,72.9
44,Heidelberg University,Germany,"20,800",16.1,18%,54 : 46,73.5,67.1,60.3,96.2,54.6,67.5
=45,KU Leuven,Belgium,"45,049",36.3,15%,50 : 50,73.2,58.7,73.9,85.3,99.3,71.8
=45,Paris Sciences et Lettres – PSL Research University Paris,France,"21,298",11.5,26%,46 : 54,73.2,71.6,71.4,77.0,52.2,78.7
47,The Hong Kong University of Science and Technology,Hong Kong,"10,125",22.3,31%,n/a,73.1,57.4,66.1,89.8,71.9,97.7
=48,University of Illinois at Urbana-Champaign,United States,"44,916",17.9,24%,47 : 53,72.9,63.2,78.0,84.4,47.9,54.3
=48,"Nanyang Technological University, Singapore",Singapore,"25,088",15.9,27%,48 : 52,72.9,57.6,70.4,84.9,76.5,95.1
50,Australian National University,Australia,"17,359",17.8,44%,52 : 48,72.1,54.4,69.7,88.4,46.4,95.5
51,University of Wisconsin-Madison,United States,"39,154",10.0,13%,n/a,72.0,68.8,70.3,85.3,46.3,47.4
52,Washington University in St Louis,United States,"13,401",7.5,20%,n/a,71.5,64.2,57.5,98.8,40.7,57.1
53,Brown University,United States,"9,391",10.8,20%,n/a,70.0,64.0,56.1,94.9,36.5,61.4
54,University of North Carolina at Chapel Hill,United States,"35,419",9.4,8%,57 : 43,69.9,59.7,63.2,96.9,43.9,38.0
=55,"University of California, Davis",United States,"39,164",12.0,14%,58 : 42,69.7,62.4,66.9,83.2,51.4,62.4
=55,University of Manchester,United Kingdom,"37,038",14.4,40%,53 : 47,69.7,56.9,63.8,85.2,44.7,91.0
=57,"University of California, Santa Barbara",United States,"24,089",27.6,16%,52 : 48,69.6,47.9,63.6,96.4,84.5,68.1
=57,Chinese University of Hong Kong,Hong Kong,"18,340",18.6,32%,n/a,69.6,55.8,62.8,84.5,55.2,97.8
59,Wageningen University & Research,Netherlands,"13,914",21.3,27%,53 : 47,69.4,49.3,57.1,96.1,100.0,81.9
60,University of Sydney,Australia,"45,111",20.1,39%,58 : 42,69.3,51.0,61.5,90.7,67.7,89.2
61,Boston University,United States,"25,662",11.6,27%,60 : 40,68.5,57.3,55.6,95.7,41.4,64.4
=62,University of Amsterdam,Netherlands,"26,723",13.5,18%,56 : 44,68.1,48.0,63.4,91.2,45.3,82.0
=62,University of Southern California,United States,"36,929",11.7,25%,53 : 47,68.1,54.7,59.3,93.1,39.7,66.2
64,Seoul National University,South Korea,"26,182",12.4,12%,n/a,68.0,72.3,71.6,66.5,86.6,35.8
65,Kyoto University,Japan,"22,566",9.0,9%,24 : 76,67.7,73.7,78.1,59.9,66.2,33.7
66,The University of Queensland,Australia,"39,144",35.7,34%,55 : 45,67.4,49.3,58.7,86.8,80.9,92.5
=67,Delft University of Technology,Netherlands,"18,743",20.2,30%,29 : 71,66.7,55.3,72.3,63.2,99.4,92.8
=67,Leiden University,Netherlands,"28,741",18.7,16%,59 : 41,66.7,48.3,65.0,83.1,72.7,79.4
69,Erasmus University Rotterdam,Netherlands,"23,167",20.4,23%,51 : 49,66.3,39.4,57.3,97.1,63.6,87.3
70,Ohio State University (Main campus),United States,"54,372",12.5,13%,50 : 50,66.1,57.5,56.1,87.3,53.3,59.5
71,UNSW Sydney,Australia,"44,336",35.7,41%,47 : 53,65.9,50.2,58.2,82.9,57.9,93.7
72,McMaster University,Canada,"24,412",28.1,17%,55 : 45,65.4,44.5,50.1,94.8,94.0,82.7
73,University of Groningen,Netherlands,"27,228",23.8,21%,51 : 49,65.1,42.3,55.6,91.6,79.8,82.5
74,Humboldt University of Berlin,Germany,"33,463",56.1,17%,n/a,65.0,61.8,66.8,67.9,40.2,67.8
=75,Monash University,Australia,"52,989",33.9,39%,57 : 43,64.7,47.3,56.6,83.8,67.2,89.9
=75,Utrecht University,Netherlands,"31,833",14.2,9%,59 : 41,64.7,44.1,61.2,88.4,65.3,65.5
77,University of Warwick,United Kingdom,"20,599",13.2,41%,49 : 51,64.6,46.9,52.7,88.8,42.8,93.8
78,Penn State (Main campus),United States,"46,204",15.3,16%,46 : 54,64.2,55.2,67.1,75.7,52.1,47.4
79,University of Minnesota,United States,"61,120",12.4,11%,52 : 48,64.1,55.2,59.3,82.7,78.2,40.2
=80,Charité - Universitätsmedizin Berlin,Germany,"7,076",17.6,19%,64 : 36,64.0,47.6,47.3,94.9,92.7,63.5
=80,Emory University,United States,"12,735",4.0,20%,58 : 42,64.0,56.0,40.4,98.8,45.4,57.9
=80,University of Science and Technology of China,China,"16,245",7.7,4%,n/a,64.0,64.6,59.5,74.7,79.6,31.3
=80,Sorbonne University,France,"43,076",13.5,19%,58 : 42,64.0,62.3,50.6,79.9,38.4,69.2
84,Michigan State University,United States,"44,789",16.5,16%,51 : 49,63.9,56.6,57.4,80.0,37.8,63.3
85,University of Montreal,Canada,"36,794",20.2,22%,n/a,63.4,48.2,49.7,86.4,70.0,84.1
86,University of Freiburg,Germany,"21,475",42.8,23%,54 : 46,63.3,49.1,51.6,83.1,100.0,75.7
87,University of Bristol,United Kingdom,"21,783",13.6,27%,54 : 46,63.2,41.8,48.4,95.5,40.9,86.6
88,Purdue University West Lafayette,United States,"40,451",15.7,23%,43 : 57,63.1,57.5,66.4,63.0,64.3,72.0
89,Sungkyunkwan University (SKKU),South Korea,"23,342",19.5,15%,43 : 57,63.0,57.6,61.2,70.3,97.3,51.1
90,University of Zurich,Switzerland,"22,609",12.3,21%,57 : 43,62.8,47.0,46.7,88.2,53.0,92.2
=91,"University of Maryland, College Park",United States,"33,108",16.6,11%,48 : 52,62.7,46.9,59.1,89.6,39.2,41.2
=91,University of Tübingen,Germany,"27,901",37.5,14%,58 : 42,62.7,51.2,56.2,80.1,67.0,64.0
93,École Polytechnique,France,"3,030",5.7,40%,22 : 78,62.5,59.6,49.1,70.2,69.6,95.2
=94,University of Basel,Switzerland,"11,518",15.8,27%,56 : 44,62.4,43.0,41.2,91.4,99.4,96.1
=94,Dartmouth College,United States,"6,247",7.7,15%,49 : 51,62.4,58.4,39.9,96.4,41.0,39.6
=96,"University of California, Irvine",United States,"32,706",16.5,26%,52 : 48,62.3,43.3,46.5,94.9,58.9,71.9
=96,University of Helsinki,Finland,"22,072",16.6,5%,66 : 34,62.3,43.4,59.3,88.1,38.1,55.1
=96,Lund University,Sweden,"27,266",12.1,19%,54 : 46,62.3,40.7,54.3,86.3,81.0,77.7
=99,University of Glasgow,United Kingdom,"25,357",15.4,37%,59 : 41,62.2,41.1,47.9,91.8,40.0,92.3
=99,RWTH Aachen University,Germany,"45,377",61.1,21%,32 : 68,62.2,55.6,61.5,67.3,98.1,59.0
101,University of Copenhagen,Denmark,"31,219",4.3,17%,57 : 43,62.1,48.1,44.1,89.6,48.1,85.4
=102,Georgetown University,United States,"16,279",8.5,18%,54 : 46,61.9,57.3,37.9,93.9,62.5,47.2
=102,Uppsala University,Sweden,"25,438",16.7,15%,57 : 43,61.9,41.6,56.4,85.0,74.6,68.1
104,University of Arizona,United States,"39,124",18.4,10%,52 : 48,61.8,52.6,53.7,85.3,52.7,40.2
=105,University of Bonn,Germany,"36,352",67.7,13%,55 : 45,61.6,47.6,47.0,88.0,93.3,60.3
=105,Rice University,United States,"6,667",8.9,28%,42 : 58,61.6,49.1,39.7,93.7,45.4,77.0
=107,University of Virginia (Main campus),United States,"23,116",8.6,12%,52 : 48,61.5,54.4,43.5,91.3,41.6,48.9
=107,Zhejiang University,China,"33,427",10.7,22%,23 : 77,61.5,66.0,64.7,50.6,100.0,61.8
109,Fudan University,China,"32,537",11.2,12%,53 : 47,61.4,61.9,58.6,68.1,58.6,44.8
=110,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"9,481",10.2,8%,20 : 80,61.3,62.6,66.4,58.1,99.9,35.5
=110,Queen Mary University of London,United Kingdom,"17,799",14.1,43%,54 : 46,61.3,35.3,43.1,98.0,44.1,96.7
112,University of Birmingham,United Kingdom,"29,542",15.5,29%,57 : 43,60.9,39.6,45.6,92.1,39.3,89.2
=113,University of Bern,Switzerland,"11,090",16.5,16%,56 : 44,60.4,44.5,41.2,86.6,85.0,87.3
=113,University of Pittsburgh-Pittsburgh campus,United States,"26,652",5.8,11%,51 : 49,60.4,47.4,45.5,95.1,40.7,39.3
115,Aarhus University,Denmark,"26,842",14.4,9%,55 : 45,60.3,37.2,54.0,85.4,66.7,74.8
116,Vanderbilt University,United States,"12,006",3.0,14%,54 : 46,60.2,48.7,42.1,95.4,47.5,43.0
=117,Free University of Berlin,Germany,"35,894",58.2,21%,59 : 41,60.1,57.2,63.3,58.4,42.4,71.6
=117,University of Sheffield,United Kingdom,"26,218",15.0,34%,50 : 50,60.1,45.2,46.4,83.0,45.8,87.3
119,Case Western Reserve University,United States,"10,654",8.8,23%,50 : 50,60.0,48.4,39.9,95.3,42.1,52.2
=120,University of Adelaide,Australia,"21,093",29.9,29%,49 : 51,59.9,34.3,41.6,95.3,64.8,91.7
=120,National Taiwan University (NTU),Taiwan,"27,254",11.1,11%,40 : 60,59.9,57.0,62.7,64.0,65.4,41.9
122,University of Southampton,United Kingdom,"23,863",13.7,34%,53 : 47,59.8,40.2,44.3,88.0,40.1,94.2
123,Ghent University,Belgium,"38,080",37.0,10%,54 : 46,59.7,43.3,55.5,78.4,80.9,59.5
124,University of Colorado Boulder,United States,"33,186",16.3,11%,44 : 56,59.6,44.8,45.6,93.1,41.7,47.3
125,University of Göttingen,Germany,"30,773",29.1,13%,51 : 49,59.5,49.6,48.6,82.0,37.0,60.9
126,City University of Hong Kong,Hong Kong,"9,587",11.0,45%,59 : 41,59.3,41.0,48.9,77.6,62.4,99.6
127,Maastricht University,Netherlands,"16,857",18.6,54%,60 : 40,59.0,40.2,48.3,77.0,82.9,97.6
=128,Radboud University Nijmegen,Netherlands,"20,024",17.5,14%,55 : 45,58.9,36.0,49.9,88.2,46.2,73.0
=128,University of York,United Kingdom,"16,058",14.9,24%,56 : 44,58.9,40.3,46.6,85.1,36.4,85.4
130,Université de Paris,France,"61,390",15.5,17%,64 : 36,58.8,52.0,36.1,88.3,35.6,66.6
=131,University of Oslo,Norway,"20,783",12.6,17%,62 : 38,58.7,39.6,43.8,90.0,40.7,75.5
=131,The University of Western Australia,Australia,"18,400",23.2,29%,49 : 51,58.7,32.5,43.9,91.0,57.0,94.3
133,Durham University,United Kingdom,"16,963",14.8,30%,55 : 45,58.5,45.5,47.8,75.5,37.9,91.7
=134,Indiana University,United States,"66,872",13.6,15%,52 : 48,58.4,50.8,49.7,76.7,49.8,53.5
=134,University of Vienna,Austria,"33,547",40.2,27%,66 : 34,58.4,48.1,55.3,64.6,37.1,94.2
=136,University of Alberta,Canada,"31,919",21.0,26%,55 : 45,58.2,47.9,48.8,70.3,60.5,87.5
=136,University of Cape Town,South Africa,"21,812",11.9,17%,53 : 47,58.2,33.2,42.8,90.3,85.3,81.8
138,Vrije Universiteit Amsterdam,Netherlands,"23,025",16.5,10%,58 : 42,58.1,35.7,48.1,88.4,52.5,68.8
=139,Lancaster University,United Kingdom,"12,657",12.5,38%,51 : 49,58.0,34.7,39.4,92.5,36.0,94.2
=139,Tufts University,United States,"11,017",9.8,16%,55 : 45,58.0,49.1,34.2,94.4,38.6,49.6
=141,University of Ottawa,Canada,"35,365",24.7,19%,59 : 41,57.9,41.3,42.0,86.2,46.5,77.7
=141,Ulm University,Germany,"10,629",27.7,13%,48 : 52,57.9,40.6,36.6,94.9,75.7,57.5
143,Pompeu Fabra University,Spain,"11,636",21.6,13%,60 : 40,57.8,37.7,40.1,94.4,44.5,66.5
=144,University of Geneva,Switzerland,"16,935",15.6,39%,61 : 39,57.6,38.1,43.7,80.4,63.3,98.4
=144,Nanjing University,China,"34,569",15.5,10%,44 : 56,57.6,50.7,48.0,71.8,84.9,57.8
=146,University of Exeter,United Kingdom,"21,451",17.6,28%,54 : 46,57.4,33.9,38.9,92.4,37.8,91.9
=146,Pohang University of Science and Technology (POSTECH),South Korea,"3,215",10.3,3%,23 : 77,57.4,51.7,50.9,72.2,99.6,32.9
=146,University of Sussex,United Kingdom,"14,978",16.1,39%,54 : 46,57.4,35.3,37.9,91.8,35.9,93.6
=149,University of Hamburg,Germany,"30,375",59.3,12%,56 : 44,57.3,44.4,49.8,74.0,98.5,58.1
=149,Sant’Anna School of Advanced Studies – Pisa,Italy,776,12.4,19%,35 : 65,57.3,45.0,42.3,82.5,84.7,56.0
=149,Technical University of Berlin,Germany,"22,622",60.6,24%,34 : 66,57.3,50.4,53.9,62.3,92.7,66.2
=152,Université Catholique de Louvain,Belgium,"26,235",39.3,20%,53 : 47,57.2,38.8,51.5,75.7,53.7,80.5
=152,University of Nottingham,United Kingdom,"29,699",14.6,29%,54 : 46,57.2,42.7,42.6,80.3,39.4,87.5
=152,Scuola Normale Superiore di Pisa,Italy,558,6.8,11%,29 : 71,57.2,57.2,38.1,79.2,35.9,52.8
=155,Arizona State University (Tempe),United States,"46,683",21.1,21%,43 : 57,57.1,39.3,50.7,81.6,38.5,61.8
=155,University of Leeds,United Kingdom,"30,236",14.2,29%,61 : 39,57.1,41.1,45.9,78.0,39.9,87.5
=157,Autonomous University of Barcelona,Spain,"31,877",12.6,16%,59 : 41,56.9,40.9,36.1,92.9,44.8,64.3
=157,University of Cologne,Germany,"36,965",36.5,16%,63 : 37,56.9,43.6,42.9,81.5,70.6,62.9
=157,University of Mannheim,Germany,"10,730",79.9,18%,56 : 44,56.9,41.9,50.0,78.2,58.6,58.5
=157,University of Notre Dame,United States,"12,104",13.7,12%,45 : 55,56.9,52.9,46.2,73.5,38.1,55.3
=157,Shanghai Jiao Tong University,China,"38,853",11.1,13%,44 : 56,56.9,58.0,63.0,47.9,99.9,49.8
=157,TU Dresden,Germany,"32,309",34.2,14%,42 : 58,56.9,46.5,48.5,73.0,94.1,55.8
163,University of Würzburg,Germany,"24,082",36.6,10%,56 : 44,56.8,38.7,42.4,87.5,65.6,61.5
164,Trinity College Dublin,Ireland,"16,853",21.9,30%,59 : 41,56.4,41.7,43.9,75.4,41.2,94.4
165,University of Liverpool,United Kingdom,"23,057",13.8,33%,55 : 45,56.3,35.2,37.5,88.8,38.8,92.2
=166,Bielefeld University,Germany,"24,875",77.5,8%,57 : 43,56.1,36.1,42.7,91.1,59.4,48.6
=166,University of Leicester,United Kingdom,"14,645",14.3,32%,53 : 47,56.1,30.1,34.8,96.2,38.1,90.7
=168,University of Aberdeen,United Kingdom,"12,399",15.7,39%,57 : 43,56.0,30.4,33.3,95.2,45.8,95.7
=168,University of Bologna,Italy,"65,819",24.0,12%,56 : 44,56.0,51.5,34.8,83.8,45.1,50.7
=168,"Rutgers, the State University of New Jersey",United States,"44,801",11.2,17%,52 : 48,56.0,47.8,48.5,73.9,41.1,51.5
171,Hong Kong Polytechnic University,Hong Kong,"20,388",23.1,25%,52 : 48,55.9,41.0,46.6,71.8,42.3,94.1
172,University of Alabama at Birmingham,United States,"16,927",16.7,6%,62 : 38,55.7,39.2,33.6,97.3,74.8,37.4
=173,Northeastern University,United States,"19,575",13.9,35%,49 : 51,55.6,38.0,27.9,97.5,38.0,75.0
=173,University of Rochester,United States,"9,824",4.2,31%,49 : 51,55.6,43.4,30.3,91.4,40.9,67.2
=175,University of Florida,United States,"46,642",16.8,10%,55 : 45,55.4,54.0,53.8,61.9,57.9,40.0
=175,Karlsruhe Institute of Technology,Germany,"27,255",25.6,22%,28 : 72,55.4,45.4,47.8,66.5,91.3,69.1
=175,Stockholm University,Sweden,"27,185",19.5,14%,n/a,55.4,30.0,46.4,85.0,36.6,81.3
178,Texas A&M University,United States,"60,818",24.8,8%,47 : 53,55.3,49.3,54.8,62.8,45.3,54.3
=179,University of Auckland,New Zealand,"32,821",22.1,32%,56 : 44,55.2,31.4,43.9,80.2,62.4,94.0
=179,"University of California, Santa Cruz",United States,"18,783",23.0,10%,50 : 50,55.2,33.1,34.9,97.7,39.1,60.6
=179,Korea University,South Korea,"22,965",16.0,22%,n/a,55.2,48.4,50.2,64.5,93.9,52.0
=179,Queensland University of Technology,Australia,"34,871",38.2,16%,54 : 46,55.2,31.9,40.3,86.4,62.4,81.4
183,University of Erlangen-Nuremberg,Germany,"38,111",57.0,12%,48 : 52,54.9,41.1,45.8,75.2,89.6,52.9
=184,Aalto University,Finland,"12,195",18.6,26%,34 : 66,54.8,41.8,39.4,76.7,48.3,82.3
=184,Technical University of Denmark,Denmark,"9,265",6.6,25%,30 : 70,54.8,39.4,40.2,73.8,71.6,92.8
=186,Eindhoven University of Technology,Netherlands,"8,917",20.7,19%,n/a,54.7,44.6,48.8,61.0,99.8,78.3
=186,University of Gothenburg,Sweden,"19,677",10.2,13%,n/a,54.7,27.5,41.5,93.5,40.1,65.7
188,Télécom Paris,France,923,5.6,39%,21 : 79,54.6,42.6,38.3,74.4,76.6,81.7
=189,Lomonosov Moscow State University,Russian Federation,"29,235",7.3,29%,48 : 52,54.3,78.2,63.0,15.6,90.7,66.6
=189,University of Münster,Germany,"43,835",43.4,8%,n/a,54.3,41.0,42.5,81.3,47.5,48.7
=189,Tel Aviv University,Israel,"22,414",22.3,7%,55 : 45,54.3,41.3,51.3,71.2,41.8,54.7
192,University of East Anglia,United Kingdom,"15,195",13.9,28%,60 : 40,54.2,28.3,30.1,97.2,35.7,87.7
193,University of Canberra,Australia,"10,823",36.2,32%,n/a,54.1,25.2,31.1,99.2,38.6,86.9
=194,University of Duisburg-Essen,Germany,"42,698",53.0,19%,48 : 52,54.0,34.4,32.8,91.8,71.6,60.0
=194,University of Technology Sydney,Australia,"26,385",43.4,34%,51 : 49,54.0,33.5,42.9,75.3,50.3,96.1
=194,University of the Witwatersrand,South Africa,"28,521",26.3,8%,56 : 44,54.0,31.2,43.2,78.8,100.0,73.7
197,Yonsei University (Seoul campus),South Korea,"17,744",14.6,22%,47 : 53,53.9,51.2,52.6,53.0,98.9,58.4
=198,University of Antwerp,Belgium,"15,166",29.3,17%,55 : 45,53.8,35.6,44.5,75.8,72.2,69.6
=198,Cardiff University,United Kingdom,"25,501",13.5,27%,59 : 41,53.8,32.5,35.5,87.1,37.8,85.1
=198,George Washington University,United States,"23,488",13.1,18%,60 : 40,53.8,48.6,32.4,81.5,35.0,55.5
=198,University of Lausanne,Switzerland,"12,197",9.6,24%,n/a,53.8,33.1,44.2,73.3,67.8,92.7
=198,University of St Andrews,United Kingdom,"9,213",12.7,46%,58 : 42,53.8,42.2,41.8,67.8,37.6,96.6
201–250,Aalborg University,Denmark,"16,340",13.6,15%,n/a,50.1–53.7,28.5,39.1,87.1,48.0,75.1
201–250,University of Barcelona,Spain,"46,214",11.8,10%,62 : 38,50.1–53.7,37.3,32.5,87.6,41.2,54.7
201–250,University of Bergen,Norway,"14,007",12.5,14%,60 : 40,50.1–53.7,29.5,29.4,94.1,37.1,78.3
201–250,Brandeis University,United States,"5,375",12.2,27%,57 : 43,50.1–53.7,28.5,22.9,100.0,35.6,53.4
201–250,University of Calgary,Canada,"28,560",16.0,19%,n/a,50.1–53.7,33.9,34.2,84.7,48.1,77.2
201–250,Copenhagen Business School,Denmark,"16,317",30.9,25%,48 : 52,50.1–53.7,25.3,32.4,83.7,43.6,92.2
201–250,University of Dundee,United Kingdom,"12,122",17.6,22%,63 : 37,50.1–53.7,24.8,31.2,90.5,46.5,80.4
201–250,École Normale Supérieure de Lyon,France,"2,362",8.9,13%,48 : 52,50.1–53.7,45.2,43.5,63.9,47.0,70.7
201–250,Griffith University,Australia,"34,120",23.6,17%,58 : 42,50.1–53.7,25.5,32.7,86.0,42.0,81.8
201–250,University of Hawai’i at Mānoa,United States,"15,054",10.8,10%,57 : 43,50.1–53.7,36.3,38.9,73.8,51.5,65.5
201–250,Hebrew University of Jerusalem,Israel,"16,137",12.0,5%,56 : 44,50.1–53.7,48.2,45.1,62.3,41.4,60.3
201–250,University of Hohenheim,Germany,"9,234",37.8,15%,57 : 43,50.1–53.7,34.4,31.0,92.0,50.0,55.7
201–250,Howard University,United States,"8,449",7.5,8%,65 : 35,50.1–53.7,42.8,15.3,99.0,34.4,34.0
201–250,University of Iowa,United States,"28,945",11.6,12%,52 : 48,50.1–53.7,43.1,29.5,82.3,54.0,46.5
201–250,James Cook University,Australia,"11,491",21.2,11%,63 : 37,50.1–53.7,23.3,28.4,93.3,45.9,75.7
201–250,King Abdulaziz University,Saudi Arabia,"32,853",7.9,21%,54 : 46,50.1–53.7,29.5,16.5,96.4,78.9,93.1
201–250,University of Konstanz,Germany,"11,387",56.1,13%,55 : 45,50.1–53.7,38.8,44.2,66.4,72.1,65.6
201–250,KTH Royal Institute of Technology,Sweden,"12,659",15.7,20%,33 : 67,50.1–53.7,40.5,42.7,62.3,50.5,89.0
201–250,Université Libre de Bruxelles,Belgium,"27,194",36.2,34%,56 : 44,50.1–53.7,30.2,41.5,73.6,42.7,87.0
201–250,University of Luxembourg,Luxembourg,"4,654",18.7,49%,51 : 49,50.1–53.7,37.9,36.5,75.8,45.2,99.7
201–250,Macquarie University,Australia,"30,234",68.6,29%,52 : 48,50.1–53.7,37.8,42.6,71.8,53.1,83.9
201–250,University of Massachusetts,United States,"61,204",13.0,15%,48 : 52,50.1–53.7,38.5,31.1,87.0,49.9,61.7
201–250,Medical University of Graz,Austria,"3,352",10.9,24%,53 : 47,50.1–53.7,30.9,25.1,91.7,62.1,74.2
201–250,Medical University of Vienna,Austria,"7,142",8.1,30%,52 : 48,50.1–53.7,33.4,23.5,90.3,53.0,78.8
201–250,University of Miami,United States,"15,971",6.3,16%,52 : 48,50.1–53.7,44.0,25.2,83.2,41.3,59.1
201–250,Moscow Institute of Physics and Technology (MIPT),Russian Federation,"5,716",11.2,15%,24 : 76,50.1–53.7,53.3,45.6,47.2,99.9,58.7
201–250,Newcastle University,United Kingdom,"22,691",14.1,27%,51 : 49,50.1–53.7,31.5,36.2,85.5,41.7,87.8
201–250,University of Otago,New Zealand,"18,196",20.0,21%,59 : 41,50.1–53.7,30.2,32.1,84.7,37.0,89.8
201–250,University of Padua,Italy,"45,169",21.3,4%,55 : 45,50.1–53.7,42.5,30.9,80.2,38.4,45.1
201–250,Paris-Sud University,France,"28,726",14.5,17%,56 : 44,50.1–53.7,33.7,32.3,85.9,35.1,65.3
201–250,Queen’s University Belfast,United Kingdom,"17,747",17.2,36%,55 : 45,50.1–53.7,31.2,35.5,83.7,38.7,96.4
201–250,RCSI University of Medicine and Health Sciences,Ireland,"2,265",21.1,65%,n/a,50.1–53.7,30.1,26.9,90.0,47.5,93.7
201–250,University of Reading,United Kingdom,"14,107",14.9,31%,57 : 43,50.1–53.7,32.1,35.2,76.9,40.3,91.9
201–250,"St George’s, University of London",United Kingdom,"3,226",14.7,21%,62 : 38,50.1–53.7,24.0,22.0,98.2,36.9,79.6
